Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
27.5,1,0.29,50,27.5,25.34640368,0.15999548,0.4408497,0.041878097,0.0124401245,0.971996,0.00040672917,0.0028988833,0.013862721,0.9599918,0.17651074,0.054475255,0.98949635,0.19618472,0.010382125,0.99711996,0.03267161,0.9959984,0.8222968
27.5,2,0.58,50,27.5,23.96673525,0.9990609,0.9872371,0.99381936,0.0013979491,0.99452156,0.32561833,0.961621,0.8153257,0.9761355,0.120959766,0.027014095,0.9975683,0.04690864,0.00975404,0.99983597,0.10302125,0.99957687,0.9966261
27.5,3,0.94,50,27.5,23.14744484,0.99878454,0.9761071,0.9890229,0.0014031408,0.9938689,0.98580223,0.9732739,0.84897673,0.974613,0.8045658,0.11103383,0.9985358,0.13282664,0.7315941,0.99983263,0.40136093,0.99966645,0.9949609
27.5,4,1.37,50,27.5,22.57656696,0.9965438,0.96957165,0.5341013,0.0030546784,0.98736596,0.9964151,0.9994,0.99211866,0.96470505,0.83130497,0.7605115,0.9978717,0.35425928,0.02454742,0.9995921,0.44788438,0.9994165,0.9729321
27.5,5,1.87,50,27.5,22.14850264,0.9963276,0.94062954,0.2258171,0.08417929,0.97910166,0.99567235,0.99886787,0.98456484,0.9546936,0.6313809,0.89130694,0.97958636,0.83387715,0.00020155404,0.9991174,0.022911115,0.9974923,0.9443059
28.0,0,0.07,50,28.0,26.60971049,0.048899192,0.3372457,0.0024128284,0.016131783,0.41612512,0.003781967,0.0036572067,0.071888894,0.30826247,0.1532644,0.11063395,0.94666374,0.12463948,0.0009979282,0.96964824,0.09547367,0.07703844,0.27137727
28.0,1,0.29,50,28.0,25.85691342,0.011642054,0.8635617,0.058393985,0.020568632,0.9555859,0.0006912233,0.001086763,0.024994912,0.9530657,0.10518363,0.044067275,0.9899766,0.11033695,0.005193163,0.99869347,0.071208335,0.9975406,0.50067717
28.0,2,0.58,50,28.0,24.46093062,0.99870926,0.98407626,0.99355555,0.0014703778,0.9862991,0.0066519114,0.025598638,0.33604664,0.9676432,0.09887015,0.020052083,0.9985632,0.040944718,0.012310182,0.9998143,0.07114381,0.99959093,0.9953666
28.0,3,0.94,50,28.0,23.63717371,0.99873763,0.9768341,0.98989666,0.0012146523,0.9910506,0.71374017,0.79182184,0.5143369,0.9758786,0.7092806,0.040412895,0.99869347,0.099546745,0.7328226,0.9998143,0.14790943,0.9996617,0.9968423
28.0,4,1.37,50,28.0,23.06578178,0.9970755,0.9735877,0.8829948,0.0010157861,0.9871525,0.98344535,0.9991742,0.9894737,0.9688248,0.81215787,0.27312467,0.9979941,0.15498471,0.12949526,0.99958986,0.3022733,0.9994229,0.9832994
